 /features        TATA         INR          YP         DPE      3-mers    4-mers/1    4-mers/2    6-mers/1    6-mers/2          CG (A+C)/(G+T)    TATA-TSS    TATA-INR     INR-TSS     REdens1     REdens2
   4.24416  -2.71945 -23.36761   4.21921   0.68685   0.73257   0.15759   0.06285   0.00873   0.22443   0.32429   0.02249   0.03981   0.04000   6.00781   4.58347         1
   4.41306   0.16654  -2.45246   4.38028   0.52594   0.84617   0.13885   0.04529   0.00873   0.16217   0.31256   0.23745   0.03981   0.04000   8.34265   6.38314         1
   2.68357   1.35586   2.69796   2.45311   0.62509   0.83862   0.24858   0.04134   0.02090   0.16217   0.31256   0.04072   0.03981   0.04000   5.94672   3.22756         1
   3.08980   5.29305 -21.94715   3.92569   0.70042   0.69932   0.26551   0.04972   0.01528   0.16217   0.31256   0.08665   0.06787   0.12783   6.99479   5.88729         1
   6.40288   2.02091   2.95771   3.09627   0.88375   0.81609   0.21851   0.07171   0.01594   0.16217   0.31256   0.23745   0.03981   0.04000   9.54345   4.16623         1
   8.58545   0.78877  -5.31993   4.21921   0.62760   0.70952   0.18442   0.06788   0.01280   0.21141   0.32429   0.28007   0.03981   0.04000   8.98887   6.14397         1
   6.93783   2.86908   7.53819   3.66028   0.54189   0.94587   0.17667   0.06476   0.01159   0.17898   0.23419   0.06084   0.04412   0.11256   9.98366   5.31731         1
   7.38670   4.93077  -6.90956   2.32243   0.79170   1.50704   0.15823   0.10943   0.01224   0.22443   0.31256   0.08665   0.05515   0.24830   9.96850   4.77291         1
   3.70291   1.95369   4.44932   4.48970   0.59800   0.54820   0.18042   0.03133   0.01270   0.22443   0.32429   0.23745   0.03981   0.04000   6.13190   4.55482         1
   6.35187   5.84532  -1.91455   0.84985   0.66678   0.74510   0.27843   0.04836   0.02169   0.06960   0.10249   0.17448   0.04412   0.12783   4.97300   3.96969         1
   6.75478   2.09389   5.78598   1.62369   0.60348   0.66304   0.21648   0.04307   0.01395   0.21141   0.31256   0.23745   0.03981   0.04000   7.80109   7.12171         1
   8.58545   3.47638  -4.88045   4.65077   0.57558   0.70798   0.16575   0.04748   0.00957   0.22443   0.23419   0.28007   0.04129   0.11256   6.99526   6.13048         1
   8.58545   7.16644  -4.91802   3.17818   0.72477   1.37122   0.23481   0.11740   0.01741   0.12382   0.10249   0.28007   0.06702   0.24830  11.05872   7.54843         1
   7.00798   3.19537   3.49607   2.18769   0.58291   0.83711   0.21152   0.06158   0.01343   0.21141   0.31256   0.04072   0.06674   0.24830  10.33009   4.88136         1
   8.16926   3.19537   9.29268   2.45311   0.70490   0.79997   0.25074   0.05759   0.01980   0.12382   0.23419   0.02249   0.06702   0.12783  14.52901   8.21123         1
   5.82132  -7.59941  -6.88820   3.17818   0.68152   0.95024   0.22079   0.08508   0.01355   0.12382   0.31256   0.28007   0.03981   0.04000  10.71489   6.72034         1
   7.00798  -9.21221   5.90681   2.18769   0.70187   0.67494   0.28638   0.04532   0.02763   0.22443   0.32429   0.28007   0.03981   0.04000   8.34430   4.88231         1
   6.71903   2.39270   9.11621  -6.68399   0.59171   1.41418   0.17123   0.08381   0.01197   0.06960   0.23419   0.28007   0.03981   0.04000  12.09235   5.41037         1
   4.72569   5.86942  -5.50852   4.65077   0.67200   0.78919   0.24123   0.05998   0.01637   0.17898   0.10249   0.28007   0.01923   0.05854  11.00876   5.44329         1
