 /features         INR          YP         DPE      3-mers    4-mers/1    4-mers/2    6-mers/1    6-mers/2          CG (A+C)/(G+T)     INR-TSS     REdens1     REdens2
   7.13946   7.55797   4.10392   0.68480   1.00157   0.22792   0.06947   0.01638   0.15426   0.32429   0.07314   1.92240   1.39085         1
  -1.86543   7.16876   3.76160   0.55525   0.76845   0.17229   0.06414   0.01194   0.19025   0.32429   0.04000   1.33659   0.93988         1
   6.87830  -3.67272   3.92246   0.62696   0.79195   0.20450   0.05272   0.01449   0.19025   0.31256   0.20093   1.54343   0.44327         1
   3.70764   8.33217   4.10392   0.60255   1.29450   0.22248   0.18947   0.01514   0.19520   0.23419   0.13246   7.22144   3.60811         1
   3.95860  -4.64537   3.58013   0.63733   0.61760   0.17640   0.03789   0.01149   0.30434   0.32429   0.13246   0.88080   1.98826         1
   1.29499   8.57080   2.89587   0.56895   0.59040   0.30564   0.03929   0.02693   0.30434   0.32429   0.04000   2.74100   6.40050         1
  -0.84356   3.00613   3.88593   0.53196   0.77703   0.15802   0.06041   0.01021   0.30434   0.32429   0.04000   6.56820   5.83412         1
   0.51662  -3.77081   3.58013   0.56875   0.65404   0.22158   0.04112   0.01479   0.19025   0.31256   0.04000   6.89932   6.33738         1
   3.17396   4.81993  -6.71106   0.70812   1.25759   0.21113   0.06914   0.01660   0.19025   0.23419   0.13053   7.72900   7.10407         1
  -0.24829   2.58295   2.83412   0.53366   0.67983   0.21522   0.04563   0.01659   0.19025   0.32429   0.04000   3.72235   0.85303         1
   4.11448   8.96036   3.28355   0.57201   0.72717   0.19385   0.05436   0.01097   0.30434   0.23419   0.08696   6.35081   2.43753         1
   4.86163  -2.46554   4.10392   0.92984   0.76553   0.20187   0.07166   0.01292   0.30434   0.31256   0.13246   2.35211   0.93479         1
  -3.57850   7.24418   4.06740   0.56895   0.91611   0.19038   0.07449   0.01261   0.19025   0.32429   0.04000   2.68858   1.69758         1
   3.09344   0.41524   3.76160   0.61355   0.96351   0.20668   0.11525   0.01398   0.04577   0.23419   0.20093   8.18362   0.73252         1
   4.42570   5.52401   2.87065   0.63874   1.10425   0.23980   0.09629   0.01847   0.19520   0.31256   0.20093   6.31729   6.08464         1
   4.11448   8.03871   3.72507   0.65931   0.82332   0.23762   0.05251   0.01619   0.09232   0.10249   0.20093   9.36854   6.76852         1
   2.29544   4.56090  -6.58116   0.60910   0.61626   0.25605   0.03656   0.02394   0.30434   0.31256   0.04000   5.84481   7.73761         1
   2.82960  -9.91324   4.45508   0.71254   0.75711   0.24407   0.05727   0.01635   0.30434   0.23419   0.10979   2.09455   1.92710         1
   3.84238   9.53782  -6.18672   0.64672   1.08894   0.27035   0.06034   0.03396   0.15426   0.31256   0.14081   2.16628   3.66680         1
   6.20541   1.01610   2.89587   0.64220   1.22479   0.20055   0.07700   0.01284   0.09232   0.31256   0.12538   5.56742   4.92749         1
   3.68794   7.52195  -6.67019   0.64588   0.64692   0.23446   0.04027   0.01651   0.15426   0.23419   0.10979   1.45866   1.30921         1
   5.15076   4.56668   4.27361   0.68735   1.17690   0.19130   0.07049   0.01333   0.19025   0.31256   0.12538   7.71570   8.21649         1
   4.67368   9.53782   4.41855   0.67449   0.81007   0.24958   0.04104   0.02844   0.30434   0.32429   0.20093   6.09637   6.74335         1
   0.71145   6.98842   3.88593   0.51266   1.73120   0.14140   0.11444   0.00899   0.19520   0.31256   0.04000  10.89893   8.87781         1
  -4.09572   9.87644   2.83412   0.58627   1.32698   0.16945   0.08391   0.01241   0.19025   0.31256   0.04000   7.07303   6.87089         1
   2.09313   2.87873   4.06740   0.56913   0.94631   0.19037   0.07690   0.01042   0.19025   0.31256   0.04000   1.59950   1.77426         1
   7.73932  -0.85059   3.54360   0.61780   0.99056   0.21336   0.10082   0.01381   0.09232   0.23419   0.12538   3.10902   1.16484         1
   0.36044 -17.73346   4.27361   0.55734   0.66543   0.14828   0.04227   0.00782   0.30434   0.32429   0.04000   1.76656   0.23722         1
  -0.26023  -0.77395   3.24703   0.55373   0.94157   0.18575   0.06442   0.01096   0.19520   0.31256   0.04000   7.60889   7.27544         1
  -1.53045   8.81912   2.32211   0.53542   0.68387   0.20950   0.04234   0.01658   0.19520   0.23419   0.04000   1.38811   7.22040         1
   2.62070  -4.80799   1.18711   0.58194   0.67150   0.19022   0.04577   0.01197   0.19520   0.23419   0.04000   3.22379   1.93258         1
   5.99512   0.07092   2.17717   0.61905   1.10366   0.24226   0.08323   0.01826   0.09232   0.10249   0.13053  11.36802  10.46558         1
   5.43052   5.70021   2.70096   0.61342   0.77080   0.25101   0.05428   0.01882   0.19025   0.31256   0.20093   6.99909   8.62077         1
   5.39877   8.31504   2.70096   0.66742   1.13658   0.25184   0.06149   0.02450   0.15426   0.31256   0.13246   4.14984   0.88250         1
   5.42454  -2.36149   4.23708   0.58633   0.58242   0.20185   0.03258   0.01239   0.19025   0.31256   0.10979   0.87898   7.34794         1
   3.54661   8.55812   3.41044   0.64419   0.99480   0.25162   0.07026   0.02139   0.09232   0.23419   0.08696   4.19262   3.03834         1
   0.15798   9.87644   4.10392   0.63416   0.70423   0.24768   0.06010   0.02818   0.19520   0.32429   0.04000   7.63224   3.03978         1
  -0.80849  -1.95170   2.89587   0.53514   1.03569   0.20855   0.05015   0.01320   0.30434   0.32429   0.04000   2.59155   0.07238         1
   3.45239  -8.18092   3.37392   0.65101   0.65521   0.20771   0.03533   0.01334   0.30434   0.32429   0.20093   3.73266   0.52256         1
   2.87036   4.01394   4.27361   0.55855   0.69884   0.19907   0.04970   0.01475   0.19025   0.23419   0.08696   9.68023   6.62389         1
   3.09701   2.08183   3.24703   0.61016   0.63539   0.25705   0.03962   0.01797   0.19520   0.32429   0.13053   0.76787   1.44249         1
   2.91403   9.06982   3.92246   0.65346   0.73809   0.26164   0.05172   0.02260   0.19520   0.31256   0.10979   6.48657   3.52191         1
   2.48238   5.88128   2.00748   0.67553   0.71488   0.25376   0.04364   0.02067   0.19520   0.23419   0.04000   7.34546   8.84168         1
   6.79224   9.63781   3.92246   0.61584   1.54564   0.23349   0.10836   0.01529   0.09232   0.10249   0.13053   9.22079   5.49909         1
  -6.24145   6.23656   4.45508   0.52582   0.53844   0.21946   0.03423   0.02045   0.30434   0.32429   0.04000   1.33685   4.76917         1
   3.93431  -1.80763   2.93240   0.63050   1.09058   0.23069   0.09561   0.01802   0.09232   0.31256   0.07314   6.85459   3.82382         1
   0.72583  -3.11307   3.05212   0.62269   2.01612   0.21240   0.51782   0.01520   0.19520   0.31256   0.04000   8.43258   8.34494         1
   1.96097   5.08691   3.19245   0.66000   1.22174   0.23092   0.06156   0.01884   0.30434   0.31256   0.04000   3.48200   2.06990         1
   3.47862   3.13355   3.05212   0.58521   0.74551   0.21887   0.04905   0.01505   0.19520   0.31256   0.14081   1.14945   0.13237         1
   0.46333   7.53164   4.27361   0.57512   0.63248   0.21902   0.04118   0.02088   0.19520   0.31256   0.04000   1.82916   6.70123         1
   1.38012   0.56250   4.45508   0.66911   0.85011   0.18287   0.05472   0.01129   0.30434   0.31256   0.04000   1.70618   1.34025         1
   1.63674 -16.21412   4.10392   0.59582   0.88921   0.17713   0.04709   0.01309   0.30434   0.32429   0.04000   7.24426   8.42528         1
   4.86515   1.97090   3.58013   0.71927   0.72215   0.20423   0.04740   0.01291   0.19025   0.31256   0.12538   1.22822   1.84494         1
   2.21551  -5.08178   4.10392   0.63863   0.88827   0.18389   0.07821   0.01313   0.15426   0.31256   0.04000   4.28651   2.79317         1
  -6.20591  -7.93108   3.88593   0.52741   0.46867   0.14604   0.03290   0.00953   0.30434   0.32429   0.04000   3.54017   8.72405         1
   2.88228   9.63781   4.41855   0.69431   2.16650   0.24950   0.39434   0.02089   0.15426   0.32429   0.13053   5.09494   1.74087         1
   4.23783   9.53782   3.01559   0.62601   0.61050   0.23606   0.04543   0.02237   0.19025   0.32429   0.20093   7.94822   7.04682         1
   2.54685 -17.30054   3.72507   0.72245   0.67247   0.23276   0.04494   0.01671   0.30434   0.31256   0.04000   0.72144   0.00000         1
   3.74387   8.86781   1.84407   0.66141   0.88942   0.25555   0.05153   0.01945   0.04577   0.02295   0.13053   8.77334   8.44210         1
   1.01598  -0.06071   3.58013   0.56836   0.70327   0.26773   0.04698   0.02258   0.19025   0.23419   0.04000   8.15949   9.12755         1
   3.10158  -3.82045   3.24703   0.62121   0.75328   0.23314   0.05150   0.01587   0.15426   0.23419   0.13246   6.20670   5.03300         1
   6.85671   1.86917   4.10392   0.67214   0.93388   0.16439   0.05486   0.01008   0.19520   0.31256   0.20093   3.27165   2.71753         1
   2.02949   9.53782   3.01559   0.58432   0.83657   0.24854   0.04916   0.02375   0.19520   0.31256   0.04000   2.12181   1.95853         1
   2.85520  -2.47682   4.10392   0.60721   0.72475   0.20902   0.05060   0.01400   0.19025   0.23419   0.13053   5.61802   1.64020         1
   5.03743   8.46213   3.41044   0.69398   1.57632   0.23524   0.11850   0.01555   0.15426   0.23419   0.12538  11.17006   2.66667         1
   1.61911 -11.19381   3.41044   0.58524   0.54007   0.17455   0.03517   0.01038   0.30434   0.32429   0.04000   1.89554   6.48031         1
  -4.89906   9.24211   3.37392   0.50916   2.79011   0.19512   0.52051   0.01725   0.09232   0.31256   0.04000   8.12989   3.75235         1
   3.84238   5.65007   4.23708   0.66210   0.71025   0.29845   0.04713   0.02674   0.30434   0.31256   0.10979   0.76748   1.22731         1
   5.62427   9.39789   4.23708   0.64717   1.87566   0.16097   0.12449   0.01079   0.15426   0.31256   0.20093   4.01995   3.76473         1
  -1.06824   4.00723   3.72507   0.55724   0.68892   0.18405   0.04183   0.01157   0.15426   0.31256   0.04000   1.45175   2.33490         1
   4.11448  -5.65840   3.28355   0.59193   0.85264   0.19182   0.08418   0.01346   0.30434   0.31256   0.13246   7.94105   6.82669         1
   0.74738   1.09214   4.41855   0.58578   0.64995   0.16650   0.04317   0.00963   0.30434   0.32429   0.04000   0.74191   0.00000         1
   3.05227   0.34132   3.22897   0.62855   0.93997   0.22632   0.04201   0.01737   0.15426   0.23419   0.13053   2.28991   1.37102         1
  -0.48566   4.98975  -6.18672   0.68188   0.84995   0.23919   0.07145   0.02202   0.15426   0.31256   0.04000   7.51043   7.67919         1
  -1.97855   4.01974  -6.36100   0.61106   0.68128   0.23238   0.05691   0.01713   0.19025   0.31256   0.04000   7.38419   7.34846         1
   5.08815   9.78389   4.45508   0.63579   2.98012   0.21476   0.30162   0.01613   0.04577   0.10249   0.20093  11.41523  11.21871         1
   3.76546   9.10645  -6.17954   0.80164   0.85205   0.28462   0.06186   0.03018   0.15426   0.10249   0.07314   2.57603   0.83320         1
   2.24812   9.79359   2.93240   0.59519   0.76153   0.22455   0.04621   0.01765   0.19520   0.31256   0.04000   0.97561   1.83842         1
   2.41313   3.87209   3.05212   0.59042   0.75577   0.23399   0.05787   0.01851   0.15426   0.23419   0.04000   2.02373   1.99244         1
   6.86023  -5.05593   2.20239   0.64790   0.80006   0.19339   0.05686   0.01351   0.15426   0.23419   0.14081   4.29199   0.98735         1
  -0.26837   7.57587   4.10392   0.56974   0.93245   0.20310   0.09376   0.01384   0.19520   0.31256   0.04000   1.89084   0.11868         1
   5.39877   8.91404   3.88593   0.66220   1.99283   0.19412   0.19673   0.01338   0.04577   0.10249   0.20093  10.29929   8.59207         1
   2.14962   1.93991   4.45508   0.64312   0.68421   0.19903   0.05006   0.01416   0.30434   0.23419   0.04000   5.71935   3.30125         1
   6.22413   8.31504  -6.18672   0.61574   1.53316   0.26653   0.10393   0.02391   0.01474   0.02295   0.20093   7.82251   0.77204         1
 -10.28773  -5.83251   3.54360   0.52726   0.60579   0.17456   0.03193   0.00948   0.30434   0.32429   0.04000   4.19184   6.70058         1
   6.45546   6.06965   2.17717   0.58587   1.52467   0.18879   0.11190   0.01171   0.19520   0.23419   0.08696   3.83568   2.85668         1
   2.07813   7.60079   0.83596   0.56718   2.06002   0.18700   0.11113   0.01529   0.09232   0.23419   0.04000  12.40232  10.81743         1
